device,backend,precision,model_id,speaker,audio_id,duration_sec,load_sec,infer_sec,latency_sec,rtf,pred_text,ref_text,error,success,pred_norm,ref_norm,WER,CER
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan01,5.4,0.2937042387978484,0.28101752046495676,0.5747217592628051,0.052040281567584584,اموز ها بخیدی خوبا آمی خان پیل درع بیکانا,امروز هوا خیلی خوبه و من می‌خوام پیاده‌روی کنم.,,True,اموز ها بخیدی خوبا آمی خان پیل درع بیکانا,امروز هوا خیلی خوبه و من می خوام پیاده روی کنم,1.0,0.45652173913043476
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan02,6.0,0.2937042387978484,0.27368113305419683,0.5673853718520452,0.04561352217569947,مدرام یهش مدده کفتار بماتن فارس رو تسم کرا,من دارم یک مدل گفتار به متن فارسی رو تست می‌کنم.,,True,مدرام یهش مدده کفتار بماتن فارس رو تسم کرا,من دارم یک مدل گفتار به متن فارسی رو تست می کنم,0.9166666666666666,0.3829787234042553
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan03,4.728,0.2937042387978484,0.28870515897870064,0.582409397776549,0.061062850883819936,دو تفانیم جامنرو تاری گوگه دون اشتال برایبیس,لطفاً این جمله را دقیق و بدون اشتباه بنویس.,,True,دو تفانیم جامنرو تاری گوگه دون اشتال برایبیس,لطفاً این جمله را دقیق و بدون اشتباه بنویس,1.0,0.6428571428571429
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan04,4.008,0.2937042387978484,0.2668938999995589,0.5605981387974073,0.06659029441106759,راستی که یه خصالی تیرا فیگو شلیو رنادره,راستش دیگه حوصله‌ی ترافیک و شلوغی رو ندارم.,,True,راستی که یه خصالی تیرا فیگو شلیو رنادره,راستش دیگه حوصله ی ترافیک و شلوغی رو ندارم,1.0,0.5238095238095238
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan05,4.944,0.2937042387978484,0.43549925461411476,0.7292034934119631,0.08808641881353454,اران دیتا ایران نیمد رم چیمی خنبی یعان باری دمامی دا,الان دقیقاً نمی‌دونم چی می‌خوام بگم ولی ادامه می‌دم!,,True,اران دیتا ایران نیمد رم چیمی خنبی یعان باری دمامی دا,الان دقیقاً نمی دونم چی می خوام بگم ولی ادامه می دم,1.0,0.5490196078431373
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan06,7.152,0.2937042387978484,0.34256819169968367,0.636272430497532,0.047898237094474785,گفت بیو ساتھ هاشت به دیکھو ترامل دیر کارد,گفت بیا ساعت هشت، ولی خب طبق معمول دیر کرد.,,True,گفت بیو ساتھ هاشت به دیکھو ترامل دیر کارد,گفت بیا ساعت هشت، ولی خب طبق معمول دیر کرد,0.8,0.4523809523809524
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan07,5.4,0.2937042387978484,0.3776770820841193,0.6713813208819677,0.06994020038594802,چا رسیبت، ساتن نهو بی سبنج دری رسو بای وزارمشی,جلسه‌ی بعدی ساعت ۹ و ۴۵ دقیقه‌ی صبح برگزار می‌شه.,,True,چا رسیبت، ساتن نهو بی سبنج دری رسو بای وزارمشی,جلسه ی بعدی ساعت 9 و 45 دقیقه ی صبح برگزار می شه,1.0,0.6875
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan08,7.152,0.2937042387978484,0.45444171503186226,0.7481459538297106,0.06354050825389573,من بین ساده ازرست نوگه هش تو ازارش هرست دور بیپورج ایوشی ویس لی کاری کرده,من بین سال‌های ۱۳۹۸ تا ۱۴۰۲ روی پروژه‌های هوش مصنوعی کار کردم.,,True,من بین ساده ازرست نوگه هش تو ازارش هرست دور بیپورج ایوشی ویس لی کاری کرده,من بین سال های 1398 تا 1402 روی پروژه های هوش مصنوعی کار کردم,1.0,0.6885245901639344
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan09,4.848,0.2937042387978484,0.2514183223247528,0.5451225611226012,0.05186021500098036,ایمتین دعب تب هدر بیستا هفبالین توانه,قیمت این لپ‌تاپ حدود بیست و هفت میلیون تومنه.,,True,ایمتین دعب تب هدر بیستا هفبالین توانه,قیمت این لپ تاپ حدود بیست و هفت میلیون تومنه,1.0,0.4318181818181818
gpu,transformers_whisper,fp16,openai/whisper-tiny,Ardalan,Ardalan10,6.216,0.2937042387978484,0.2880620826035738,0.5817663214014221,0.046342033880883815,شیرش لن کشی شوشی روز خلی شابی هم شلومشان,شیر، شیلنگ، شیشه و شیراز خیلی شبیه هم شروع می‌شن.,,True,شیرش لن کشی شوشی روز خلی شابی هم شلومشان,شیر، شیلنگ، شیشه و شیراز خیلی شبیه هم شروع می شن,0.9090909090909091,0.4375
